,statefp,name,state_name,LON,LAT
1993,13,McIntosh,Georgia,-81.40163426,-81.40163426
1994,5,Phillips,Arkansas,-90.84805822,-90.84805822
1995,20,Ellsworth,Kansas,-98.20465207,-98.20465207
1996,18,Boone,Indiana,-86.46841646,-86.46841646
1997,22,Orleans,Louisiana,-89.92660257,-89.92660257
1998,8,El Paso,Colorado,-104.5251411,-104.5251411
1999,44,Newport,Rhode Island,-71.26569799,-71.26569799
2000,55,Waukesha,Wisconsin,-88.30431085,-88.30431085
2001,27,Nicollet,Minnesota,-94.2471114,-94.2471114
2002,42,Montgomery,Pennsylvania,-75.36653819,-75.36653819
2003,48,Collingsworth,Texas,-100.2700111,-100.2700111
2004,29,Nodaway,Missouri,-94.88255092,-94.88255092
2005,36,Schenectady,New York,-74.05278291,-74.05278291
2006,21,Oldham,Kentucky,-85.448222,-85.448222
2007,39,Ashtabula,Ohio,-80.74830218,-80.74830218
2008,37,Henderson,North Carolina,-82.47779139,-82.47779139
2009,36,Hamilton,New York,-74.49721957,-74.49721957
2010,51,Prince George,Virginia,-77.22914773,-77.22914773
2011,56,Converse,Wyoming,-105.5081489,-105.5081489
2012,48,Eastland,Texas,-98.83243566,-98.83243566
2013,1,Blount,Alabama,-86.56792477,-86.56792477
2014,1,Choctaw,Alabama,-88.2656443,-88.2656443
2015,36,Erie,New York,-78.73063652,-78.73063652
2016,24,Calvert,Maryland,-76.56820632,-76.56820632
2017,48,DeWitt,Texas,-97.3568117,-97.3568117
2018,21,Mason,Kentucky,-83.8215143,-83.8215143
2019,26,Oceana,Michigan,-86.26726673,-86.26726673
2020,37,Scotland,North Carolina,-79.47582686,-79.47582686
2021,17,Hancock,Illinois,-91.16343977,-91.16343977
2022,48,Anderson,Texas,-95.653546,-95.653546
2023,46,Custer,South Dakota,-103.4536291,-103.4536291
2024,45,Edgefield,South Carolina,-81.96231108,-81.96231108
2025,28,Grenada,Mississippi,-89.80245083,-89.80245083
2026,5,Poinsett,Arkansas,-90.66268713,-90.66268713
2027,54,Putnam,West Virginia,-81.9082131,-81.9082131
2028,41,Morrow,Oregon,-119.5841477,-119.5841477
2029,55,Door,Wisconsin,-87.30002707,-87.30002707
2030,18,Martin,Indiana,-86.80375394,-86.80375394
2031,45,Sumter,South Carolina,-80.37691553,-80.37691553
2032,45,Saluda,South Carolina,-81.72713237,-81.72713237
2033,51,Charles City,Virginia,-77.05623644,-77.05623644
2034,12,Charlotte,Florida,-81.92949121,-81.92949121
2035,28,Hancock,Mississippi,-89.48851034,-89.48851034
2036,1,Limestone,Alabama,-86.98313466,-86.98313466
2037,13,Seminole,Georgia,-84.86823758,-84.86823758
2038,28,Franklin,Mississippi,-90.89672989,-90.89672989
2039,55,Rock,Wisconsin,-89.07148325,-89.07148325
2040,21,Harrison,Kentucky,-84.32868088,-84.32868088
2041,27,Watonwan,Minnesota,-94.61413846,-94.61413846
2042,6,Yolo,California,-121.9018306,-121.9018306
2043,26,Mecosta,Michigan,-85.32464875,-85.32464875
2044,42,Clinton,Pennsylvania,-77.63785995,-77.63785995
2045,4,Cochise,Arizona,-109.7517805,-109.7517805
2046,6,Kern,California,-118.7277796,-118.7277796
2047,21,Elliott,Kentucky,-83.09695569,-83.09695569
2048,29,Christian,Missouri,-93.18537118,-93.18537118
2049,49,Carbon,Utah,-110.5868309,-110.5868309
2050,51,Cumberland,Virginia,-78.24394074,-78.24394074
2051,26,Menominee,Michigan,-87.55377673,-87.55377673
2052,38,Traill,North Dakota,-97.16323288,-97.16323288
2053,37,Jones,North Carolina,-77.34891022,-77.34891022
2054,48,Williamson,Texas,-97.6004854,-97.6004854
2055,39,Brown,Ohio,-83.86788395,-83.86788395
2056,38,Ward,North Dakota,-101.533921,-101.533921
2057,19,Clarke,Iowa,-93.78499767,-93.78499767
2058,31,Thurston,Nebraska,-96.54157099,-96.54157099
2059,16,Caribou,Idaho,-111.5598755,-111.5598755
2060,22,Natchitoches,Louisiana,-93.09816462,-93.09816462
2061,40,Beaver,Oklahoma,-100.4758872,-100.4758872
2062,8,Moffat,Colorado,-108.2076777,-108.2076777
2063,18,Hamilton,Indiana,-86.05244729,-86.05244729
2064,55,Marquette,Wisconsin,-89.40071993,-89.40071993
2065,27,Yellow Medicine,Minnesota,-95.86842453,-95.86842453
2066,41,Crook,Oregon,-120.356297,-120.356297
2067,54,Barbour,West Virginia,-80.00350858,-80.00350858
2068,40,Seminole,Oklahoma,-96.61686741,-96.61686741
2069,29,Greene,Missouri,-93.34230916,-93.34230916
2070,21,Hart,Kentucky,-85.88461055,-85.88461055
2071,17,Brown,Illinois,-90.75068024,-90.75068024
2072,1,Franklin,Alabama,-87.84289505,-87.84289505
2073,16,Bonneville,Idaho,-111.6161537,-111.6161537
2074,13,Spalding,Georgia,-84.28013991,-84.28013991
2075,55,Pepin,Wisconsin,-91.99949704,-91.99949704
2076,38,Cavalier,North Dakota,-98.46685243,-98.46685243
2077,13,Cherokee,Georgia,-84.47432077,-84.47432077
2078,1,Cherokee,Alabama,-85.60638968,-85.60638968
2079,20,Jewell,Kansas,-98.21820662,-98.21820662
2080,29,Oregon,Missouri,-91.4033755,-91.4033755
2081,39,Williams,Ohio,-84.58684346,-84.58684346
2082,37,Edgecombe,North Carolina,-77.59436859,-77.59436859
2083,5,Pike,Arkansas,-93.65789374,-93.65789374
2084,48,Lamar,Texas,-95.57404777,-95.57404777
2085,19,Bremer,Iowa,-92.31795937,-92.31795937
2086,21,Grant,Kentucky,-84.62416151,-84.62416151
2087,17,Winnebago,Illinois,-89.16085327,-89.16085327
2088,16,Nez Perce,Idaho,-116.7482569,-116.7482569
2089,46,Gregory,South Dakota,-99.18882337,-99.18882337
2090,55,Kewaunee,Wisconsin,-87.61468386,-87.61468386
2091,13,Hancock,Georgia,-82.99767857,-82.99767857
2092,13,Barrow,Georgia,-83.71435662,-83.71435662
2093,41,Washington,Oregon,-123.0955257,-123.0955257
2094,55,Florence,Wisconsin,-88.39804137,-88.39804137
2095,37,Surry,North Carolina,-80.6910144,-80.6910144
2096,39,Holmes,Ohio,-81.92635677,-81.92635677
2097,33,Merrimack,New Hampshire,-71.67758896,-71.67758896
2098,30,Toole,Montana,-111.6942414,-111.6942414
2099,18,St. Joseph,Indiana,-86.29039191,-86.29039191
2100,20,Johnson,Kansas,-94.82250844,-94.82250844
2101,39,Portage,Ohio,-81.19735782,-81.19735782
2102,46,Todd,South Dakota,-100.7195605,-100.7195605
2103,54,Wyoming,West Virginia,-81.54511071,-81.54511071
2104,31,Nemaha,Nebraska,-95.85433992,-95.85433992
2105,20,Logan,Kansas,-101.148475,-101.148475
2106,46,Walworth,South Dakota,-100.0307514,-100.0307514
2107,27,Crow Wing,Minnesota,-94.06755609,-94.06755609
2108,13,Morgan,Georgia,-83.49128887,-83.49128887
2109,12,Wakulla,Florida,-84.39895211,-84.39895211
2110,20,Atchison,Kansas,-95.30870026,-95.30870026
2111,32,Washoe,Nevada,-119.6631594,-119.6631594
2112,31,Dixon,Nebraska,-96.86782408,-96.86782408
2113,8,Saguache,Colorado,-106.282466,-106.282466
2114,5,Washington,Arkansas,-94.21800746,-94.21800746
2115,40,Cleveland,Oklahoma,-97.32519562,-97.32519562
2116,48,Van Zandt,Texas,-95.83784528,-95.83784528
2117,6,Fresno,California,-119.6466929,-119.6466929
2118,24,Howard,Maryland,-76.93126208,-76.93126208
2119,40,Harper,Oklahoma,-99.6679804,-99.6679804
2120,47,Campbell,Tennessee,-84.15109568,-84.15109568
2121,39,Logan,Ohio,-83.76784929,-83.76784929
2122,33,Carroll,New Hampshire,-71.20430216,-71.20430216
2123,1,Geneva,Alabama,-85.83572567,-85.83572567
2124,13,Brantley,Georgia,-81.97743999,-81.97743999
2125,17,McLean,Illinois,-88.84621113,-88.84621113
2126,8,Mesa,Colorado,-108.469799,-108.469799
2127,13,Butts,Georgia,-83.95380951,-83.95380951
2128,19,Jackson,Iowa,-90.57354837,-90.57354837
2129,40,Adair,Oklahoma,-94.65859267,-94.65859267
2130,5,Saline,Arkansas,-92.67581797,-92.67581797
2131,51,Pulaski,Virginia,-80.71277482,-80.71277482
2132,45,Dillon,South Carolina,-79.37741668,-79.37741668
2133,17,Scott,Illinois,-90.47814431,-90.47814431
2134,29,Putnam,Missouri,-93.02046488,-93.02046488
2135,5,Polk,Arkansas,-94.22728802,-94.22728802
2136,5,Independence,Arkansas,-91.56793336,-91.56793336
2137,51,Halifax,Virginia,-78.93512622,-78.93512622
2138,26,Macomb,Michigan,-82.9275257,-82.9275257
2139,48,Hopkins,Texas,-95.56351139,-95.56351139
2140,40,Pawnee,Oklahoma,-96.70331703,-96.70331703
2141,51,Culpeper,Virginia,-77.95753524,-77.95753524
2142,36,Fulton,New York,-74.41798803,-74.41798803
2143,54,Mercer,West Virginia,-81.11023142,-81.11023142
2144,8,Sedgwick,Colorado,-102.3519227,-102.3519227
2145,48,Waller,Texas,-95.99164329,-95.99164329
2146,18,Bartholomew,Indiana,-85.89706196,-85.89706196
2147,51,Roanoke,Virginia,-80.06406185,-80.06406185
2148,45,Kershaw,South Carolina,-80.5900277,-80.5900277
2149,46,Lyman,South Dakota,-99.85195384,-99.85195384
2150,13,Clarke,Georgia,-83.37124007,-83.37124007
2151,72,Mayagüez,Puerto Rico,-67.44912762,-67.44912762
2152,48,Kimble,Texas,-99.74856473,-99.74856473
2153,48,Washington,Texas,-96.4092574,-96.4092574
2154,29,Audrain,Missouri,-91.84242683,-91.84242683
2155,48,Nolan,Texas,-100.4060208,-100.4060208
2156,47,Montgomery,Tennessee,-87.38550661,-87.38550661
2157,48,Nacogdoches,Texas,-94.6178368,-94.6178368
2158,13,Calhoun,Georgia,-84.62594866,-84.62594866
2159,48,Hardin,Texas,-94.38931817,-94.38931817
2160,12,Bradford,Florida,-82.16611155,-82.16611155
2161,8,Grand,Colorado,-106.1178193,-106.1178193
2162,21,Lawrence,Kentucky,-82.72882223,-82.72882223
2163,44,Washington,Rhode Island,-71.61433213,-71.61433213
2164,26,Mackinac,Michigan,-85.04981539,-85.04981539
2165,56,Park,Wyoming,-109.5852908,-109.5852908
2166,20,Wabaunsee,Kansas,-96.20357226,-96.20357226
2167,18,Jennings,Indiana,-85.62710784,-85.62710784
2168,21,Bracken,Kentucky,-84.0850006,-84.0850006
2169,5,Prairie,Arkansas,-91.55292851,-91.55292851
2170,51,Accomack,Virginia,-75.63234615,-75.63234615
2171,13,Jackson,Georgia,-83.56814788,-83.56814788
2172,13,Walker,Georgia,-85.30165174,-85.30165174
2173,27,Wabasha,Minnesota,-92.23118928,-92.23118928
2174,31,Nance,Nebraska,-97.99327291,-97.99327291
2175,13,Houston,Georgia,-83.66877606,-83.66877606
2176,72,Ciales,Puerto Rico,-66.51902513,-66.51902513
2177,31,Blaine,Nebraska,-99.97677845,-99.97677845
2178,2,Southeast Fairbanks,Alaska,-143.2058585,-143.2058585
2179,16,Lemhi,Idaho,-113.9289429,-113.9289429
2180,23,Washington,Maine,-67.62550903,-67.62550903
2181,2,Fairbanks North Star,Alaska,-146.5706117,-146.5706117
2182,5,Arkansas,Arkansas,-91.37409472,-91.37409472
2183,55,Kenosha,Wisconsin,-88.04051686,-88.04051686
2184,38,Nelson,North Dakota,-98.19038437,-98.19038437
2185,34,Monmouth,New Jersey,-74.22241074,-74.22241074
2186,17,Wayne,Illinois,-88.42586459,-88.42586459
2187,28,Neshoba,Mississippi,-89.11726492,-89.11726492
2188,48,Edwards,Texas,-100.304252,-100.304252
2189,51,Powhatan,Virginia,-77.91235944,-77.91235944
2190,22,Livingston,Louisiana,-90.72863292,-90.72863292
2191,12,Brevard,Florida,-80.72931948,-80.72931948
2192,48,Presidio,Texas,-104.2408079,-104.2408079
2193,42,Lehigh,Pennsylvania,-75.59435245,-75.59435245
2194,48,Llano,Texas,-98.68451,-98.68451
2195,28,Warren,Mississippi,-90.83286259,-90.83286259
2196,30,Lake,Montana,-114.0898013,-114.0898013
2197,4,La Paz,Arizona,-113.9807505,-113.9807505
2198,16,Elmore,Idaho,-115.4687205,-115.4687205
2199,19,Harrison,Iowa,-95.81558439,-95.81558439
2200,37,Wilkes,North Carolina,-81.16211794,-81.16211794
2201,46,Turner,South Dakota,-97.14865776,-97.14865776
2202,26,Marquette,Michigan,-87.64187359,-87.64187359
2203,22,Iberia,Louisiana,-91.75707095,-91.75707095
2204,22,Pointe Coupee,Louisiana,-91.60209535,-91.60209535
2205,39,Preble,Ohio,-84.64787018,-84.64787018
2206,19,Plymouth,Iowa,-96.21366621,-96.21366621
2207,48,Refugio,Texas,-97.1576414,-97.1576414
2208,8,Montrose,Colorado,-108.2645731,-108.2645731
2209,19,Wayne,Iowa,-93.32752197,-93.32752197
2210,48,Tarrant,Texas,-97.29101614,-97.29101614
2211,40,Major,Oklahoma,-98.53467076,-98.53467076
2212,53,Adams,Washington,-118.5597135,-118.5597135
2213,51,Caroline,Virginia,-77.34347446,-77.34347446
2214,42,Forest,Pennsylvania,-79.23228797,-79.23228797
2215,2,Sitka,Alaska,-135.3202602,-135.3202602
2216,35,Socorro,New Mexico,-106.9297166,-106.9297166
2217,8,Routt,Colorado,-106.9905548,-106.9905548
2218,2,Denali,Alaska,-150.0067312,-150.0067312
2219,40,McIntosh,Oklahoma,-95.66599306,-95.66599306
2220,40,Haskell,Oklahoma,-95.11513306,-95.11513306
2221,54,Marshall,West Virginia,-80.66591062,-80.66591062
2222,51,Craig,Virginia,-80.21150106,-80.21150106
2223,47,Benton,Tennessee,-88.06849879,-88.06849879
2224,37,Martin,North Carolina,-77.10860251,-77.10860251
2225,20,Leavenworth,Kansas,-95.03620809,-95.03620809
2226,6,Kings,California,-119.8159973,-119.8159973
2227,55,Ashland,Wisconsin,-90.67836806,-90.67836806
2228,53,Garfield,Washington,-117.5454032,-117.5454032
2229,48,Burnet,Texas,-98.1816359,-98.1816359
2230,13,Franklin,Georgia,-83.23159927,-83.23159927
2231,17,Hardin,Illinois,-88.26873022,-88.26873022
2232,12,Glades,Florida,-81.18996211,-81.18996211
2233,12,Hillsborough,Florida,-82.32013172,-82.32013172
2234,47,Tipton,Tennessee,-89.73694895,-89.73694895
2235,26,Branch,Michigan,-85.05929476,-85.05929476
2236,40,Nowata,Oklahoma,-95.61902331,-95.61902331
